Title,Section,Subsection,Content
Cricket_World_Cup,Media coverage,,"The tournament is one of the world's most-viewed sporting events, and successive tournaments have generated increasing media attention as One-Day International cricket has become more established. The 2011 Cricket World Cup was televised in over 200 countries to over 2.2 billion viewers. Television rights, mainly for the 2011 and 2015 World Cup, were sold for over US$1.1 billion, and sponsorship rights were sold for a further US$500 million. The ICC claimed a total of 1.6 billion viewers for the 2019 World Cup as well as 4.6 billion views of digital video of the tournament. The most-watched match of the tournament was the group game between India and Pakistan, which was watched by more than 300 million people live."
Cricket_World_Cup,Selection of hosts,,"The International Cricket Council's executive committee votes for the hosts of the tournament after examining the bids made by the nations keen to hold a Cricket World Cup.
England hosted the first three competitions. The ICC decided that England should host the first tournament because it was ready to devote the resources required to organising the inaugural event. India volunteered to host the third Cricket World Cup, but most ICC members preferred England as the longer period of daylight in England in June meant that a match could be completed in one day. The 1987 Cricket World Cup was held in India and Pakistan, the first hosted outside England.
Many of the tournaments have been jointly hosted by nations from the same geographical region, such as South Asia in 1987, 1996 and 2011, Australasia (in Australia and New Zealand) in 1992 and 2015, Southern Africa in 2003 and West Indies in 2007.
In November 2021, ICC published the name of the hosts for ICC events to be played between 2024 and 2031 cycle. The hosts for the 50-over World Cup along with T20 World Cup and Champions Trophy were selected through a competitive bidding process."
Cricket_World_Cup,Results,,Notes
Cricket_World_Cup,Tournament summary,,"Twenty nations have qualified for the Cricket World Cup at least once. Six teams have competed in every tournament, five of which have won the title. The West Indies won the first two tournaments, Australia has won six, India has won two, while Pakistan, Sri Lanka and England have each won once. The West Indies (1975 and 1979) and Australia (1999, 2003 and 2007) are the only teams to have won consecutive titles. Australia has played in eight of the thirteen finals (1975, 1987, 1996, 1999, 2003, 2007, 2015 and 2023). New Zealand has yet to win the World Cup, but has been runners-up two times (2015 and 2019). The best result by a non-Test playing nation is the semi-final appearance by Kenya in the 2003 tournament; while the best result by a non-Test playing team on their debut is the Super 8 (second round) by Ireland in 2007.
Sri Lanka, as a co-host of the 1996 World Cup, was the first host to win the tournament, though the final was held in Pakistan. India won in 2011 as host and was the first team to win a final played in their own country. Australia and England repeated the feat in 2015 and 2019 respectively. Other than this, England in 1979 and India in 2023 made it to the final which was hosted by their country. Other countries which have achieved or equalled their best World Cup results while co-hosting the tournament are Sri Lanka and New Zealand as finalists in 2011 and 2015 respectively, Zimbabwe who reached the Super Six in 2003, and Kenya as semi-finalists in 2003. In 1987, co-hosts India and Pakistan both reached the semi-finals, but were eliminated by England and Australia respectively. Australia in 1992, England in 1999, South Africa in 2003, and Bangladesh in 2011 have been host teams that were eliminated in the first round."
Cricket_World_Cup,Tournament summary,Teams' performances,"An overview of the teams' performances in every World Cup is given below. For each tournament, the number of teams in each finals tournament (in brackets) are shown.
Legend
W – Winner
RU– Runner up
SF– Semi-finals
S6– Super Six (1999–2003)
QF– Quarter-finals (1996, 2011–2015)
S8– Super Eight (2007)
GP – Group stage / First round
Q – Qualified, Still in Competition
    — Hosts"
Cricket_World_Cup,Tournament summary,Overview,"The table below provides an overview of the performances of teams over past World Cups, as of the end of the 2023 tournament. Teams are ordered by best result then by appearances, then by winning percentage, then by total number of wins, total number of number of games, and then alphabetically:
Note:
The Win percentage excludes no results and counts ties as half a win.
Teams are sorted by their best performance, then winning percentage, then (if equal) by alphabetical order."
Cricket_World_Cup,References,Sources,"Browning, Mark (1999). A complete history of World Cup Cricket. Simon & Schuster. ISBN 0-7318-0833-9."
Cricket_World_Cup,External links,,"Official website
Cricket World Cup records at ESPNcricinfo"
FIFA_World_Cup,Introduction,,"The FIFA World Cup, often called the World Cup, is an international association football competition among the senior men's national teams of the members of the Fédération Internationale de Football Association (FIFA), the sport's global governing body. The tournament has been held every four years since the inaugural tournament in 1930, with the exception of 1942 and 1946 due to the Second World War. The reigning champions are Argentina, who won their third title at the 2022 World Cup by defeating France.
The contest starts with the qualification phase, which takes place over the preceding three years to determine which teams qualify for the tournament phase. In the tournament phase, 32 teams compete for the title at venues within the host nation(s) over the course of about a month. The host nation(s) automatically qualify for the group stage of the tournament. The competition is scheduled to expand to 48 teams, starting with the 2026 World Cup.
As of the 2022 World Cup, 22 final tournaments have been held since the event's inception in 1930, and a total of 80 national teams have competed. The trophy has been won by eight national teams. With five wins, Brazil  is the only team to have played in every tournament. The other World Cup winners are Germany and Italy, with four titles each; Argentina, with three titles; France and inaugural winner Uruguay, each with two titles; and England and Spain, with one title each.
The World Cup is globally regarded as the most prestigious association football competition, as well as the most widely viewed and followed sporting event in the world. The viewership of the 2018 World Cup was estimated to be 3.57 billion, close to half of the global population, while the engagement with the 2022 World Cup was estimated to be 5 billion, with about 1.5 billion people watching the final match.
Eighteen countries have hosted the World Cup, most recently Qatar, who hosted the 2022 event. The 2026 tournament will be jointly hosted by Canada, Mexico, and the United States, which will give Mexico the distinction of being the first country to host games in three World Cups."
FIFA_World_Cup,History,Previous international competitions,"The world's first international football match was a challenge match played in Glasgow in 1872 between Scotland and England. The first international tournament for nations, the inaugural British Home Championship, took place in 1884 and included games between England, Scotland, Wales, and Ireland. As football grew in popularity in other parts of the world at the start of the 20th century, it was held as a demonstration sport with no medals awarded at the 1900 and 1904 Summer Olympics; however, the International Olympic Committee has retroactively upgraded their status to official events, as well as the 1906 Intercalated Games.
After FIFA was founded in 1904, it tried to arrange an international football tournament between nations outside the Olympic framework in Switzerland in 1906. These were very early days for international football, and the official history of FIFA describes the competition as having been unsuccessful.
At the 1908 Summer Olympics in London, football became an official Olympic sport. Planned by the Football Association (the FA), England's football governing body, the event was for amateur players only and was regarded suspiciously as a show rather than a competition. Great Britain (represented by the England national amateur football team) won the gold medals. They repeated the feat at the 1912 Summer Olympics in Stockholm.
With the Olympic event continuing to be a contest between amateur teams only, Sir Thomas Lipton organised the Sir Thomas Lipton Trophy tournament in Turin in 1909. The Lipton tournament was a championship between individual clubs (not national teams) from different nations, each of which represented an entire nation. The competition is sometimes described as The First World Cup, and featured the most prestigious professional club sides from Italy, Germany and Switzerland, but the FA of England refused to be associated with the competition and declined the offer to send a professional team. Lipton invited West Auckland, an amateur side from County Durham, to represent England instead. West Auckland won the tournament and returned in 1911 to successfully defend their title. Prior to the Lipton competition, from 1876 to 1904, games that were considered to be the ""football world championship"" were meetings between leading English and Scottish clubs, such as the 1895 game between Sunderland A.F.C. and the Heart of Midlothian F.C., which Sunderland won.
In 1914, FIFA agreed to recognise the Olympic tournament as a ""world football championship for amateurs"", and took responsibility for managing the event. This paved the way for the world's first intercontinental football competition for nations, at the 1920 Summer Olympics, contested by Egypt and 13 European teams, and won by Belgium. Uruguay won the next two Olympic football tournaments in 1924 and 1928. Those were also the first two open world championships, as 1924 was the start of FIFA's professional era, and is the reason why Uruguay is allowed to wear 4 stars."
FIFA_World_Cup,History,World Cups before World War II,"Due to the success of the Olympic football tournaments, FIFA, with President Jules Rimet as the driving force, again started looking at staging its own international tournament outside of the Olympics. On 28 May 1928, the FIFA Congress in Amsterdam decided to stage a world championship. With Uruguay now two-time official football world champions and to celebrate their centenary of independence in 1930, FIFA named Uruguay as the host country of the inaugural World Cup tournament.
The national associations of selected nations were invited to send a team, but the choice of Uruguay as a venue for the competition meant a long and costly trip across the Atlantic Ocean for European sides, especially in the midst of the Great Depression. As such, no European country pledged to send a team until two months before the start of the competition. Rimet eventually persuaded teams from Belgium, France, Romania, and Yugoslavia to make the trip. In total, 13 nations took part: seven from South America, four from Europe, and two from North America.
The first two World Cup matches took place simultaneously on 13 July 1930, and were won by France and the United States, who defeated Mexico 4–1 and Belgium 3–0 respectively. The first goal in World Cup history was scored by Lucien Laurent of France. In the final, Uruguay defeated Argentina 4–2 in front of 93,000 spectators in Montevideo, and became the first nation to win the World Cup. After the creation of the World Cup, FIFA and the IOC disagreed over the status of amateur players; football was dropped from the 1932 Summer Olympics. After the IOC and FIFA worked out their differences, Olympic football returned at the 1936 Summer Olympics, but was now overshadowed by the more prestigious World Cup.
The issues facing the early World Cup tournaments were the difficulties of intercontinental travel and war. Few South American teams were willing to travel to Europe for the 1934 World Cup and all North and South American nations except Brazil and Cuba boycotted the 1938 tournament. Brazil was the only South American team to compete in both. The 1942 and 1946 competitions, which Germany and Brazil sought to host, were cancelled due to World War II."
FIFA_World_Cup,History,World Cups after World War II,"The 1950 World Cup, held in Brazil, was the first to include British football associations. Scotland, England, Wales, and Northern Ireland had withdrawn from FIFA in 1920, partly out of unwillingness to play against the countries they had been at war with, and partly as a protest against foreign influence on football. The teams rejoined in 1946 following FIFA's invitation. The tournament also saw the return of 1930 champions Uruguay, who had boycotted the previous two World Cups. Uruguay won the tournament again after defeating the host nation Brazil, in the match called ""Maracanazo"" (Portuguese: Maracanaço).
In the tournaments between 1934 and 1978, 16 teams competed in each tournament, except in 1938, when Austria was absorbed into Germany after qualifying, leaving the tournament with 15 teams, and in 1950, when India, Scotland, and Turkey withdrew, leaving the tournament with 13 teams. Most of the participating nations were from Europe and South America, with a small minority from North America, Africa, Asia, and Oceania. These teams were usually defeated easily by the European and South American teams. Until 1982, the only teams from outside Europe and South America to advance out of the first round were: United States, semi-finalists in 1930; Cuba, quarter-finalists in 1938; North Korea, quarter-finalists in 1966; and Mexico, quarter-finalists in 1970."
FIFA_World_Cup,History,Expansion to 24 and 32 teams,"The tournament was expanded to 24 teams in 1982, and then to 32 in 1998, allowing more teams from Africa, Asia and North America to take part. Since then, teams from these regions have enjoyed more success, with several having reached the quarter-finals: Mexico, quarter-finalists in 1986; Cameroon, quarter-finalists in 1990; South Korea, finishing in fourth place in 2002; Senegal, along with USA, both quarter-finalists in 2002; Ghana, quarter-finalists in 2010; Costa Rica, quarter-finalists in 2014; and Morocco, finishing in fourth place in 2022. European and South American teams continue to dominate, e.g., the quarter-finalists in 1994, 1998, 2006 and 2018 were all from Europe or South America and so were the finalists of all tournaments so far.
Two hundred teams entered the 2002 FIFA World Cup qualification rounds. 198 nations attempted to qualify for the 2006 FIFA World Cup. A record 204 countries entered qualification for the 2010 FIFA World Cup."
FIFA_World_Cup,History,Expansion to 48 teams,"In October 2013, Sepp Blatter spoke of guaranteeing the Caribbean Football Union's region a position in the World Cup. In the edition of 25 October 2013 of the FIFA Weekly Blatter wrote that: ""From a purely sporting perspective, I would like to see globalisation finally taken seriously, and the African and Asian national associations accorded the status they deserve at the FIFA World Cup. It cannot be that the European and South American confederations lay claim to the majority of the berths at the World Cup."" Those two remarks suggested to commentators that Blatter could be putting himself forward for re-election to the FIFA Presidency.
Following the magazine's publication, Blatter's would-be opponent for the FIFA Presidency, UEFA President Michel Platini, responded that he intended to extend the World Cup to 40 national associations, increasing the number of participants by eight. Platini said that he would allocate an additional berth to UEFA, two each to the Asian Football Confederation and the Confederation of African Football, two shared between CONCACAF and CONMEBOL, and a guaranteed place for the Oceania Football Confederation. Platini was clear about why he wanted to expand the World Cup. He said: ""[The World Cup is] not based on the quality of the teams because you don't have the best 32 at the World Cup ... but it's a good compromise. ... It's a political matter so why not have more Africans? The competition is to bring all the people of all the world. If you don't give the possibility to participate, they don't improve.""
In October 2016, FIFA president Gianni Infantino stated his support for a 48-team World Cup in 2026. On 10 January 2017, FIFA confirmed the 2026 World Cup will have 48 finalist teams."
FIFA_World_Cup,History,2015 FIFA corruption case,"By May 2015, the games were under a particularly dark cloud because of the 2015 FIFA corruption case, allegations and criminal charges of bribery, fraud and money laundering to corrupt the issuing of media and marketing rights (rigged bids) for FIFA games, with FIFA officials accused of taking bribes totaling more than $150 million over 24 years. In late May, the U.S. Department of Justice announced a 47-count indictment with charges of racketeering, wire fraud and money laundering conspiracy against 14 people. Arrests of over a dozen FIFA officials were made since that time, particularly on 29 May and 3 December. By the end of May 2015, a total of nine FIFA officials and five executives of sports and broadcasting markets had already been charged on corruption. At the time, FIFA president Sepp Blatter announced he would relinquish his position in February 2016.
On 4 June 2015, Chuck Blazer while co-operating with the FBI and the Swiss authorities admitted that he and the other members of FIFA's then-executive committee were bribed in order to promote the 1998 and 2010 World Cups. On 10 June 2015, Swiss authorities seized computer data from the offices of Sepp Blatter. The same day, FIFA postponed the bidding process for the 2026 FIFA World Cup in light of the allegations surrounding bribery in the awarding of the 2018 and 2022 tournaments. Then-secretary general Jérôme Valcke stated, ""Due to the situation, I think it's nonsense to start any bidding process for the time being."" On 28 October 2015, Blatter and FIFA VP Michel Platini, a potential candidate for presidency, were suspended for 90 days; both maintained their innocence in statements made to the news media.
On 3 December 2015 two FIFA vice-presidents were arrested on suspicion of bribery in the same Zurich hotel where seven FIFA officials had been arrested in May. An additional 16 indictments by the US Department of Justice were announced on the same day."
FIFA_World_Cup,History,Biennial World Cup proposition,"A biennial World Cup plan was first proposed by the Saudi Arabian Football Federation at the 71st FIFA Congress on 21 May 2021 and prominently backed by former Arsenal manager Arsène Wenger and national federations in Africa and Asia.
Continental confederations such as UEFA and CONMEBOL are not on board with the plan but, in total, the idea is supported by 166 of the 210 member associations of FIFA."
FIFA_World_Cup,History,Other FIFA tournaments,"An equivalent tournament for women's football, the FIFA Women's World Cup, was first held in 1991 in China. The women's tournament is smaller in scale and profile than the men's, but is growing; the number of entrants for the 2007 tournament was 120, more than double that of 1991.
Men's football has been included in every Summer Olympic Games except 1896 and 1932. Unlike many other sports, the men's football tournament at the Olympics is not a top-level tournament, and since 1992, an under-23 tournament with each team allowed three over-age players. Women's football made its Olympic debut in 1996.
The FIFA Confederations Cup was a tournament held one year before the World Cup at the World Cup host nation(s) as a dress rehearsal for the upcoming World Cup. It is contested by the winners of each of the six FIFA confederation championships, along with the FIFA World Cup champion and the host country. The first edition took place in 1992 and the last edition was played in 2017. In March 2019, FIFA confirmed that the tournament would no longer be active owing to an expansion of the FIFA Club World Cup in 2021.
FIFA also organises international tournaments for youth football (FIFA U-20 World Cup, FIFA U-17 World Cup, FIFA U-20 Women's World Cup, FIFA U-17 Women's World Cup), club football (FIFA Club World Cup), and football variants such as futsal (FIFA Futsal World Cup) and beach soccer (FIFA Beach Soccer World Cup). The latter three do not have a women's version, although a FIFA Women's Club World Cup has been proposed.
The FIFA U-20 Women's World Cup is held biannually, including the year before each Women's World Cup. Both tournaments were awarded in a single bidding process on three occasions, with the U-20 tournament serving as a dress rehearsal for the larger competition each time (2010, 2014 and 2018)."
FIFA_World_Cup,Trophy,,"From 1930 to 1970, the Jules Rimet Trophy was awarded to the World Cup winning team. It was originally simply known as the World Cup or Coupe du Monde, but in 1946 it was renamed after the FIFA president Jules Rimet who set up the first tournament. In 1970, Brazil's third victory in the tournament entitled them to keep the trophy permanently. However, the trophy was stolen in 1983 and has never been recovered, apparently melted down by the thieves.
After 1970, a new trophy, known as the FIFA World Cup Trophy, was designed. The experts of FIFA, coming from seven countries, evaluated the 53 presented models, finally opting for the work of the Italian designer Silvio Gazzaniga. The new trophy is 36 cm (14.2 in) high, made of solid 18 carat (75%) gold and weighs 6.175 kg (13.6 lb).
The base contains two layers of semi-precious malachite while the bottom side of the trophy bears the engraved year and name of each FIFA World Cup winner since 1974. The description of the trophy by Gazzaniga was: ""The lines spring out from the base, rising in spirals, stretching out to receive the world. From the remarkable dynamic tensions of the compact body of the sculpture rise the figures of two athletes at the stirring moment of victory.""
This new trophy is not awarded to the winning nation permanently. World Cup winners retain the trophy only until the post-match celebration is finished. They are awarded a gold-plated replica rather than the solid gold original immediately afterwards.
All members (players, coaches, and managers) of the top three teams receive medals with an insignia of the World Cup Trophy; winners' (gold), runners-up' (silver), and third-place (bronze). In the 2002 edition, fourth-place medals were awarded to hosts South Korea. Before the 1978 tournament, medals were only awarded to the eleven players on the pitch at the end of the final and the third-place match. In November 2007, FIFA announced that all members of World Cup-winning squads between 1930 and 1974 were to be retroactively awarded winners' medals.
Since 2006, winners of the competition are also awarded the right to wear the FIFA Champions Badge, up until the time at which the winner of the next competition is decided."
